漢字,名乗り訓
魂,もと
佐,すけ
佐,たすく
佐,よし
左,すけ
差,しな
差,すけ
沙,いさ
沙,す
砂,いさご
砂,すな
座,おき
座,くら
催,とき
最,いろ
最,かなめ
最,たかし
最,まさる
最,も
最,ゆたか
最,よし
哉,えい
哉,か
哉,かな
哉,き
哉,すけ
哉,ちか
哉,とし
哉,はじめ
哉,や
塞,せき
妻,つま
宰,おさむ
宰,かみ
宰,すず
宰,ただ
宰,つかさ
彩,あや
彩,いろ
彩,たみ
才,かた
才,たえ
才,とし
才,もち
採,もち
栽,たね
歳,とし
歳,とせ
済,お
済,かた
済,すみ
済,ただ
済,なり
済,なる
済,まさ
済,ます
済,やす
済,よし
済,わたす
済,わたり
済,わたる
采,あや
采,うね
采,こと
犀,かた
斎,いつ
斎,いつき
斎,いわい
斎,きよ
斎,ただ
斎,とき
斎,ひとし
斎,よし
細,くわし
菜,な
載,こと
載,とし
載,のり
載,はじめ
際,きわ
在,あき
在,あきら
在,あり
在,すみ
在,とお
在,まき
在,みつる
材,えだ
材,き
材,もとき
材,もとし
財,たから
冴,さえ
坂,さか
咲,さき
崎,さき
埼,さき
作,あり
作,つくり
作,つくる
作,とも
作,なお
作,なり
作,ふか
朔,きた
朔,はじめ
朔,もと
策,かず
策,つか
策,もり
索,もと
桜,さくら
冊,なみ
冊,ふみ
冊,ふん
刷,きよ
察,あき
察,あきら
察,み
察,みる
札,さね
札,ぬさ
雑,かず
雑,とも
皐,すすむ
皐,たか
皐,たかし
三,かず
三,こ
三,さぶ
三,さむ
三,そ
三,そう
三,ぞう
三,ただ
三,なお
三,み
三,みつ
三,みる
参,かず
参,ちか
参,なか
参,ほし
参,み
参,みち
参,みつ
山,たか
山,たかし
山,のぶ
山,やま
散,のぶ
燦,あき
産,うむ
産,ただ
産,むすび
算,かず
算,とも
纂,あつ
讃,ささ
賛,あきら
賛,じ
賛,すけ
賛,たすく
賛,よし
仕,まなぶ
伺,み
刺,さし
刺,さす
司,おさむ
司,かず
司,つかさ
司,つとむ
司,もと
司,もり
史,さかん
史,ちか
史,ちかし
史,ひと
史,ふの
史,ふひと
史,ふみ
史,み
嗣,さね
嗣,つぎ
